95 130
103 103 101
104 104 102
105 105 105
104 104 104
106 106 108
108 108 110
108 108 110
108 108 110
108 107 112
110 109 114
112 111 116
116 116 118
116 116 118
116 116 118
116 116 118
116 116 118
114 114 116
113 113 115
112 112 114
114 114 116
114 114 116
115 115 117
115 115 117
115 115 117
114 114 116
113 113 115
112 112 114
107 107 107
108 108 108
110 110 110
111 111 111
111 111 111
110 110 110
108 108 108
107 107 107
106 106 106
106 106 106
105 105 105
106 106 106
106 106 106
108 108 108
109 109 109
110 110 110
110 109 114
111 110 115
112 111 116
112 112 114
113 113 115
112 112 114
112 112 114
111 111 111
110 110 110
108 108 106
107 107 105
107 107 105
107 107 105
105 106 101
100 101 96
97 98 93
93 94 89
92 93 88
91 92 87
94 95 90
97 98 93
99 100 95
99 100 95
97 98 93
94 95 90
94 95 90
95 96 91
96 97 92
97 98 93
98 99 94
99 100 95
99 100 95
97 98 93
97 98 93
97 98 93
98 99 94
98 99 94
98 99 94
99 100 95
99 100 95
98 99 94
98 99 94
97 98 93
97 98 93
97 98 93
96 97 92
96 97 92
96 97 92
93 94 89
92 93 88
91 92 87
89 90 85
89 90 85
89 90 85
89 90 85
89 90 85
88 89 84
86 87 82
84 85 80
82 83 78
83 84 79
85 86 81
87 88 83
89 90 85
92 93 88
92 93 88
93 94 89
92 92 90
91 91 89
88 88 86
85 85 83
83 83 83
81 81 81
79 79 81
75 75 77
71 71 73
69 69 71
69 68 73
70 69 74
71 70 75
73 73 73
73 73 73
92 93 88
96 97 92
100 101 96
103 103 101
103 103 101
102 102 100
103 103 101
104 104 104
104 104 104
106 106 108
109 109 111
109 109 111
109 109 111
110 109 114
112 111 116
114 113 118
118 118 120
117 117 119
117 117 119
116 116 118
115 115 117
114 114 116
113 113 115
112 112 114
115 115 117
116 116 118
116 116 118
117 117 119
117 117 119
116 116 118
115 115 117
114 114 116
111 111 111
111 111 111
112 112 112
113 113 113
113 113 113
112 112 112
111 111 111
111 111 111
109 109 109
109 109 109
108 108 108
108 108 108
109 109 109
110 110 110
111 111 111
112 112 112
112 111 116
113 112 117
114 113 118
115 115 117
116 116 118
116 116 118
116 116 118
115 115 115
112 112 112
111 111 109
110 110 108
110 110 108
109 109 107
107 108 103
103 104 99
99 100 95
93 94 89
92 93 88
92 93 88
94 95 90
98 99 94
100 101 96
100 101 96
99 100 95
95 96 91
95 96 91
96 97 92
96 97 92
97 98 93
97 98 93
98 99 94
98 99 94
97 98 93
97 98 93
97 98 93
98 99 94
98 99 94
99 100 95
99 100 95
99 100 95
99 100 95
99 100 95
99 100 95
99 100 95
98 99 94
97 98 93
96 97 92
96 97 92
93 94 89
92 93 88
91 92 87
89 90 85
87 88 83
87 88 83
87 88 83
87 88 83
85 86 81
84 85 80
83 84 79
82 83 78
83 84 79
85 86 81
87 88 83
89 90 85
91 92 87
91 92 87
92 93 88
92 92 90
91 91 89
88 88 86
86 86 84
84 84 84
80 80 80
78 78 80
75 75 77
72 72 74
70 70 72
70 69 74
70 69 74
71 70 75
73 73 73
73 73 73
93 94 89
96 97 92
100 101 96
101 101 99
101 101 99
101 101 99
102 102 100
103 103 103
106 106 106
108 108 110
110 110 112
111 111 113
111 111 113
111 110 115
114 113 118
116 115 120
119 119 121
118 118 120
117 117 119
116 116 118
115 115 117
114 114 116
114 114 116
114 114 116
116 116 118
117 117 119
118 118 120
119 119 121
119 119 121
118 118 120
118 118 120
117 117 119
114 114 114
115 115 115
115 115 115
115 115 115
115 115 115
115 115 115
115 115 115
114 114 114
113 113 113
112 112 112
112 112 112
111 111 111
112 112 112
113 113 113
114 114 114
114 114 114
114 113 118
115 114 119
116 115 120
118 118 120
118 118 120
118 118 120
118 118 120
118 118 118
113 113 113
112 112 110
111 111 109
110 110 108
110 110 108
108 109 104
103 104 99
100 101 96
95 96 91
94 95 90
94 95 90
95 96 91
99 100 95
100 101 96
100 101 96
99 100 95
96 97 92
96 97 92
96 97 92
96 97 92
97 98 93
97 98 93
97 98 93
97 98 93
97 98 93
97 98 93
97 98 93
97 98 93
98 99 94
98 99 94
98 99 94
99 100 95
101 102 97
101 102 97
102 103 98
102 103 98
101 102 97
99 100 95
97 98 93
96 97 92
93 94 89
92 93 88
90 91 86
88 89 84
86 87 82
85 86 81
85 86 81
85 86 81
84 85 80
83 84 79
82 83 78
82 83 78
82 83 78
84 85 80
86 87 82
87 88 83
89 90 85
90 91 86
91 92 87
91 91 89
90 90 88
88 88 86
85 85 83
84 84 84
80 80 80
78 78 80
76 76 78
73 73 75
72 72 74
71 70 75
72 71 76
72 71 76
73 73 73
73 73 73
94 95 90
96 97 92
98 99 94
98 98 96
97 97 95
98 98 96
100 100 98
103 103 103
108 108 108
110 110 112
112 112 114
112 112 114
112 112 114
112 111 116
114 113 118
116 115 120
119 119 121
118 118 120
117 117 119
116 116 118
115 115 117
115 115 117
115 115 117
116 116 118
118 118 120
118 118 120
119 119 121
120 120 122
121 121 123
120 120 122
120 120 122
119 119 121
118 118 118
118 118 118
117 117 117
117 117 117
117 117 117
117 117 117
118 118 118
118 118 118
116 116 116
116 116 116
115 115 115
114 114 114
114 114 114
115 115 115
116 116 116
116 116 116
117 116 121
118 117 122
119 118 123
119 119 121
120 120 122
119 119 121
119 119 121
118 118 118
114 114 114
113 113 111
111 111 109
111 111 109
111 111 109
109 110 105
104 105 100
101 102 97
97 98 93
96 97 92
95 96 91
97 98 93
99 100 95
100 101 96
100 101 96
98 99 94
97 98 93
97 98 93
97 98 93
97 98 93
96 97 92
96 97 92
96 97 92
96 97 92
95 96 91
95 96 91
96 97 92
96 97 92
97 98 93
97 98 93
97 98 93
97 98 93
101 102 97
101 102 97
102 103 98
102 103 98
101 102 97
99 100 95
96 97 92
95 96 91
92 93 88
91 92 87
89 90 85
87 88 83
86 87 82
85 86 81
85 86 81
85 86 81
83 84 79
83 84 79
82 83 78
82 83 78
82 83 78
83 84 79
84 85 80
84 85 80
87 88 83
88 89 84
89 90 85
89 89 87
88 88 86
86 86 84
84 84 82
83 83 83
80 80 80
79 79 81
77 77 79
76 76 78
74 74 76
74 73 78
74 73 78
74 73 78
73 73 73
73 73 73
94 95 90
95 96 91
95 96 91
94 94 92
93 93 91
95 95 93
99 99 97
103 103 103
110 110 110
112 112 114
114 114 116
114 114 116
112 112 114
112 111 116
114 113 118
116 115 120
119 119 121
118 118 120
116 116 118
115 115 117
115 115 117
116 116 118
117 117 119
118 118 120
118 118 120
119 119 121
120 120 122
122 122 124
122 122 124
122 122 124
122 122 124
121 121 123
120 120 122
120 120 122
119 119 121
119 119 121
119 119 121
119 119 121
120 120 122
120 120 122
119 119 121
118 118 120
117 117 119
116 116 118
116 116 118
117 117 119
117 117 119
118 118 120
119 118 123
119 118 123
120 119 124
120 120 122
120 120 122
119 119 121
118 118 120
117 117 117
116 116 116
114 114 112
113 113 111
113 113 111
113 113 111
110 111 106
106 107 102
102 103 98
100 101 96
98 99 94
97 98 93
98 99 94
99 100 95
100 101 96
99 100 95
97 98 93
98 99 94
98 99 94
98 99 94
97 98 93
96 97 92
95 96 91
95 96 91
95 96 91
94 95 90
94 95 90
94 95 90
95 96 91
95 96 91
96 97 92
96 97 92
96 97 92
98 99 94
99 100 95
100 101 96
101 102 97
99 100 95
96 97 92
93 94 89
91 92 87
90 91 86
89 90 85
88 89 84
86 87 82
85 86 81
85 86 81
85 86 81
85 86 81
83 84 79
83 84 79
82 83 78
82 83 78
82 83 78
82 83 78
82 83 78
82 83 78
85 86 81
86 87 82
87 88 83
87 87 85
87 87 85
85 85 83
83 83 81
81 81 81
81 81 81
80 80 82
79 79 81
78 78 80
77 77 79
76 75 80
76 75 80
75 74 79
73 73 73
73 73 73
95 96 91
95 96 91
94 95 90
92 92 90
91 91 89
93 93 91
98 98 96
103 103 103
112 112 112
114 114 116
115 115 117
114 114 116
113 113 115
112 111 116
114 113 118
115 114 119
118 118 120
117 117 119
116 116 118
115 115 117
115 115 117
116 116 118
118 118 120
119 119 121
119 119 121
120 120 122
121 121 123
122 122 124
123 123 125
123 123 125
123 123 125
122 122 124
121 121 123
121 121 123
120 120 122
120 120 122
120 120 122
120 120 122
121 121 123
121 121 123
120 120 122
119 119 121
118 118 120
118 118 120
117 117 119
118 118 120
118 118 120
119 119 121
120 119 124
120 119 124
121 120 125
121 121 123
120 120 122
119 119 121
117 117 119
117 117 117
117 117 117
116 116 114
115 115 113
115 115 113
114 114 112
112 113 108
108 109 104
104 105 100
101 102 97
100 101 96
98 99 94
98 99 94
100 101 96
100 101 96
98 99 94
96 97 92
99 100 95
98 99 94
98 99 94
97 98 93
96 97 92
95 96 91
95 96 91
94 95 90
93 94 89
93 94 89
93 94 89
94 95 90
94 95 90
95 96 91
95 96 91
95 96 91
96 97 92
97 98 93
98 99 94
99 100 95
97 98 93
94 95 90
91 92 87
89 90 85
89 90 85
88 89 84
87 88 83
86 87 82
85 86 81
85 86 81
85 86 81
85 86 81
83 84 79
83 84 79
83 84 79
82 83 78
81 82 77
81 82 77
80 81 76
80 81 76
83 84 79
84 85 80
85 86 81
86 86 84
85 85 83
84 84 82
82 82 80
80 80 80
81 81 81
81 81 83
80 80 82
79 79 81
78 78 80
77 76 81
77 76 81
77 76 81
73 73 73
73 73 73
96 97 92
96 97 92
96 97 92
96 96 94
99 99 97
103 103 101
108 108 106
110 110 110
117 117 117
118 118 120
119 119 121
119 119 121
119 119 121
118 117 122
117 116 121
116 115 120
117 117 119
117 117 119
116 116 118
116 116 118
116 116 118
118 118 120
120 120 122
122 122 124
121 121 123
121 121 123
122 122 124
122 122 124
123 123 125
123 123 125
123 123 125
123 123 125
123 123 125
123 123 125
124 124 126
124 124 126
124 124 126
123 123 125
122 122 124
122 122 124
124 124 126
123 123 125
122 122 124
120 120 122
120 120 122
120 120 122
120 120 122
120 120 122
127 126 131
123 122 127
121 120 125
121 121 123
121 121 123
118 118 120
118 118 120
119 119 119
116 116 116
115 115 113
117 117 115
120 120 118
115 115 113
107 108 103
107 108 103
113 114 109
106 107 102
105 106 101
103 104 99
101 102 97
100 101 96
99 100 95
99 100 95
99 100 95
98 99 94
97 98 93
97 98 93
96 97 92
94 95 90
93 94 89
93 94 89
92 93 88
92 93 88
92 93 88
92 93 88
93 94 89
93 94 89
93 94 89
94 95 90
94 95 90
91 92 87
91 92 87
91 92 87
91 92 87
90 91 86
89 90 85
88 89 84
87 88 83
86 87 82
86 87 82
85 86 81
84 85 80
84 85 80
85 86 81
86 87 82
86 87 82
86 87 82
84 85 80
81 82 77
78 79 74
78 79 74
78 79 74
80 81 76
81 82 77
84 85 80
84 85 80
84 85 80
84 84 82
84 84 82
83 83 81
82 82 80
81 81 81
80 80 80
79 79 81
79 79 81
78 78 80
77 77 79
76 75 80
76 75 80
76 75 80
74 74 74
74 74 74
99 100 95
99 100 95
98 99 94
99 99 97
102 102 100
106 106 104
110 110 108
112 112 112
117 117 117
117 117 119
118 118 120
119 119 121
119 119 121
119 118 123
118 117 122
117 116 121
117 117 119
117 117 119
116 116 118
116 116 118
117 117 119
119 119 121
120 120 122
122 122 124
121 121 123
121 121 123
122 122 124
122 122 124
123 123 125
123 123 125
123 123 125
123 123 125
123 122 127
124 123 128
124 123 128
125 124 129
125 124 129
124 123 128
123 122 127
122 121 126
124 123 128
123 122 127
122 121 126
121 120 125
120 119 124
120 119 124
121 120 125
121 120 125
124 123 128
123 122 127
123 122 127
125 125 127
124 124 126
123 123 125
122 122 124
123 123 123
118 118 118
119 119 117
117 117 115
115 115 113
119 119 117
122 123 118
116 117 112
106 107 102
108 109 104
107 108 103
105 106 101
103 104 99
101 102 97
100 101 96
100 101 96
100 101 96
99 100 95
99 100 95
98 99 94
96 97 92
95 96 91
94 95 90
93 94 89
92 93 88
91 92 87
92 93 88
92 93 88
93 94 89
94 95 90
95 96 91
95 96 91
95 96 91
92 93 88
92 93 88
91 92 87
91 92 87
89 90 85
88 89 84
86 87 82
86 87 82
86 87 82
85 86 81
84 85 80
84 85 80
84 85 80
84 85 80
85 86 81
86 87 82
85 86 81
83 84 79
80 81 76
78 79 74
77 78 73
78 79 74
80 81 76
81 82 77
83 84 79
83 84 79
83 84 79
83 83 81
83 83 81
82 82 80
81 81 79
81 81 81
79 79 79
78 78 80
78 78 80
77 77 79
76 76 78
76 75 80
75 74 79
75 74 79
74 74 74
74 74 74
102 103 98
102 103 98
102 103 98
103 103 101
105 105 103
109 109 107
112 112 110
114 114 114
115 115 115
116 116 118
117 117 119
119 119 121
119 119 121
119 118 123
119 118 123
119 118 123
117 117 119
117 117 119
117 117 119
117 117 119
118 118 120
119 119 121
120 120 122
121 121 123
121 121 123
121 121 123
122 122 124
122 122 124
123 123 125
123 123 125
123 123 125
123 123 125
123 122 127
124 123 128
125 124 129
125 124 129
125 124 129
125 124 129
124 123 128
123 122 127
124 123 128
124 123 128
123 122 127
122 121 126
121 120 125
122 121 126
122 121 126
123 122 127
124 123 128
126 125 130
127 126 131
126 126 128
124 124 126
123 123 125
123 123 125
123 123 123
117 117 117
125 125 123
124 124 122
115 115 113
116 116 114
124 125 120
119 120 115
105 106 101
111 112 107
110 111 106
107 108 103
105 106 101
103 104 99
102 103 98
102 103 98
101 102 97
101 102 97
101 102 97
100 101 96
98 99 94
96 97 92
95 96 91
93 94 89
93 94 89
91 92 87
91 92 87
92 93 88
94 95 90
95 96 91
97 98 93
98 99 94
98 99 94
94 95 90
93 94 89
92 93 88
90 91 86
88 89 84
86 87 82
85 86 81
84 85 80
85 86 81
84 85 80
84 85 80
83 84 79
83 84 79
84 85 80
84 85 80
85 86 81
84 85 80
83 84 79
80 81 76
78 79 74
78 79 74
78 79 74
79 80 75
80 81 76
82 83 78
82 83 78
82 83 78
81 81 79
81 81 79
80 80 78
80 80 78
80 80 80
77 77 77
77 77 79
76 76 78
76 76 78
75 75 77
74 73 78
74 73 78
73 72 77
74 74 74
74 74 74
103 104 99
103 104 99
103 104 99
105 105 103
107 107 105
110 110 108
112 112 110
114 114 114
114 114 114
115 115 117
117 117 119
118 118 120
119 119 121
120 119 124
120 119 124
120 119 124
117 117 119
117 117 119
117 117 119
118 118 120
119 119 121
120 120 122
121 121 123
121 121 123
121 121 123
121 121 123
122 122 124
122 122 124
123 123 125
123 123 125
123 123 125
123 123 125
124 123 128
124 123 128
125 124 129
126 125 130
126 125 130
126 125 130
125 124 129
125 124 129
125 124 129
125 124 129
124 123 128
123 122 127
123 122 127
123 122 127
124 123 128
125 124 129
127 126 131
129 128 133
128 127 132
124 124 126
121 121 123
122 122 124
121 121 123
120 120 120
119 119 119
123 123 121
125 125 123
120 120 118
115 115 113
114 115 110
117 118 113
119 120 115
114 115 110
113 114 109
111 112 107
108 109 104
106 107 102
105 106 101
104 105 100
104 105 100
104 105 100
104 105 100
102 103 98
100 101 96
98 99 94
96 97 92
94 95 90
93 94 89
90 91 86
91 92 87
93 94 89
95 96 91
97 98 93
99 100 95
100 101 96
101 102 97
96 97 92
95 96 91
92 93 88
90 91 86
87 88 83
85 86 81
84 85 80
83 84 79
85 86 81
84 85 80
83 84 79
83 84 79
83 84 79
83 84 79
84 85 80
85 86 81
84 85 80
82 83 78
81 82 77
79 80 75
78 79 74
78 79 74
79 80 75
79 80 75
81 82 77
81 82 77
80 81 76
79 79 77
79 79 77
79 79 77
79 79 77
79 79 79
76 76 76
76 76 78
75 75 77
74 74 76
74 74 76
73 72 77
72 71 76
72 71 76
73 73 73
73 73 73
102 103 98
103 104 99
103 104 99
105 105 103
107 107 105
109 109 107
111 111 109
112 112 112
114 114 114
115 115 117
117 117 119
118 118 120
119 119 121
120 119 124
120 119 124
120 119 124
117 117 119
117 117 119
118 118 120
119 119 121
120 120 122
121 121 123
121 121 123
121 121 123
121 121 123
121 121 123
122 122 124
122 122 124
123 123 125
123 123 125
123 123 125
123 123 125
124 123 129
125 124 130
126 125 131
127 126 132
127 126 132
127 126 132
127 126 132
127 126 132
126 125 131
125 124 130
125 124 130
124 123 129
124 123 129
125 124 130
126 125 131
127 126 132
130 129 134
131 130 135
128 127 132
122 122 124
122 122 124
126 126 128
125 125 127
120 120 120
115 115 115
95 95 93
91 91 89
110 110 108
121 121 119
116 117 112
117 118 113
129 130 125
117 118 113
116 117 112
114 115 110
112 113 108
110 111 106
109 110 105
108 109 104
108 109 104
108 109 104
107 108 103
105 106 101
102 103 98
99 100 95
97 98 93
95 96 91
94 95 90
91 92 87
92 93 88
94 95 90
96 97 92
98 99 94
101 102 97
102 103 98
103 104 99
99 100 95
97 98 93
94 95 90
90 91 86
87 88 83
85 86 81
85 86 81
84 85 80
85 86 81
85 86 81
84 85 80
83 84 79
83 84 79
84 85 80
85 86 81
85 86 81
84 85 80
83 84 79
82 83 78
81 82 77
80 81 76
80 81 76
80 81 76
80 81 76
82 83 78
81 82 77
79 80 75
78 78 76
78 78 76
78 78 76
79 79 77
79 79 79
76 76 76
75 75 77
75 75 77
74 74 76
73 73 75
72 71 76
72 71 76
71 70 75
73 73 73
73 73 73
102 103 98
102 103 98
104 105 100
105 105 103
107 107 105
108 108 106
110 110 108
110 110 110
115 115 115
116 116 118
117 117 119
119 119 121
119 119 121
119 118 123
119 118 123
119 118 123
117 117 119
118 118 120
119 119 121
120 120 122
121 121 123
121 121 123
121 121 123
121 121 123
121 121 123
121 121 123
122 122 124
122 122 124
123 123 125
123 123 125
123 123 125
123 123 125
124 123 129
125 124 130
126 125 131
128 127 133
129 128 134
129 128 134
128 127 133
128 127 133
127 126 132
126 125 131
126 125 131
126 125 131
126 125 131
127 126 132
128 127 133
129 128 134
129 128 133
131 130 135
127 126 131
124 124 126
128 128 130
135 135 137
129 129 131
116 116 116
84 84 84
41 41 39
31 31 29
77 77 75
120 120 118
123 124 119
115 116 111
118 119 114
119 120 115
118 119 114
116 117 112
114 115 110
113 114 109
113 114 109
113 114 109
113 114 109
111 112 107
110 111 106
107 108 103
104 105 100
101 102 97
98 99 94
96 97 92
94 95 90
93 94 89
94 95 90
95 96 91
97 98 93
100 101 96
102 103 98
103 104 99
104 105 100
101 102 97
98 99 94
95 96 91
91 92 87
88 89 84
87 88 83
87 88 83
87 88 83
86 87 82
86 87 82
85 86 81
84 85 80
84 85 80
85 86 81
86 87 82
86 87 82
85 86 81
84 85 80
84 85 80
83 84 79
82 83 78
82 83 78
81 82 77
81 82 77
83 84 79
81 82 77
79 80 75
78 78 76
77 77 75
78 78 76
79 79 77
80 80 80
76 76 76
76 76 78
75 75 77
74 74 76
73 73 75
73 72 77
72 71 76
72 71 76
72 72 72
72 72 72
102 103 98
103 104 99
105 106 101
107 107 105
108 108 106
109 109 107
110 110 108
110 110 110
117 117 117
117 117 119
118 118 120
119 119 121
119 119 121
119 118 123
118 117 122
117 116 121
116 116 118
118 118 120
119 119 121
121 121 123
122 122 124
122 122 124
121 121 123
121 121 123
121 121 123
121 121 123
122 122 124
122 122 124
123 123 125
123 123 125
123 123 125
123 123 125
124 123 129
125 124 130
127 126 132
128 127 133
129 128 134
130 129 135
130 129 135
129 128 134
127 126 132
127 126 132
127 126 132
126 125 131
127 126 132
128 127 133
129 128 134
130 129 135
127 126 131
129 128 133
127 126 131
125 125 127
132 132 134
136 136 138
119 119 121
96 96 96
38 38 38
3 3 1
2 2 0
56 56 54
112 112 110
126 127 122
117 118 113
111 112 107
119 120 115
118 119 114
117 118 113
116 117 112
116 117 112
116 117 112
117 118 113
117 118 113
113 114 109
112 113 108
109 110 105
106 107 102
102 103 98
99 100 95
96 97 92
95 96 91
95 96 91
95 96 91
97 98 93
99 100 95
101 102 97
102 103 98
104 105 100
105 106 101
102 103 98
100 101 96
96 97 92
92 93 88
90 91 86
89 90 85
89 90 85
90 91 86
88 89 84
87 88 83
86 87 82
86 87 82
86 87 82
86 87 82
87 88 83
88 89 84
86 87 82
86 87 82
86 87 82
85 86 81
85 86 81
84 85 80
82 83 78
82 83 78
84 85 80
82 83 78
80 81 76
78 78 76
78 78 76
79 79 77
80 80 78
82 82 82
77 77 77
76 76 78
76 76 78
75 75 77
74 74 76
73 72 77
73 72 77
73 72 77
72 72 72
72 72 72
103 104 99
104 105 100
106 107 102
108 108 106
109 109 107
110 110 108
110 110 108
110 110 110
117 117 117
118 118 120
119 119 121
119 119 121
119 119 121
118 117 122
117 116 121
116 115 120
116 116 118
118 118 120
120 120 122
122 122 124
122 122 124
122 122 124
121 121 123
121 121 123
121 121 123
121 121 123
122 122 124
122 122 124
123 123 125
123 123 125
123 123 125
123 123 125
124 123 129
125 124 130
127 126 132
129 128 134
130 129 135
130 129 135
130 129 135
130 129 135
128 127 133
127 126 132
127 126 132
127 126 132
128 127 133
129 128 134
130 129 135
131 130 136
127 126 131
129 128 133
127 126 131
126 126 128
132 132 134
130 130 132
104 104 106
73 73 73
8 8 8
0 0 0
13 13 11
61 61 59
108 108 106
126 127 122
124 125 120
120 121 116
119 120 115
119 120 115
118 119 114
117 118 113
118 119 114
118 119 114
119 120 115
120 121 116
114 115 110
113 114 109
110 111 106
107 108 103
103 104 99
99 100 95
97 98 93
95 96 91
96 97 92
97 98 93
98 99 94
99 100 95
101 102 97
103 104 99
104 105 100
104 105 100
103 104 99
100 101 96
96 97 92
93 94 89
91 92 87
90 91 86
91 92 87
92 93 88
89 90 85
88 89 84
87 88 83
87 88 83
87 88 83
87 88 83
88 89 84
89 90 85
87 88 83
87 88 83
87 88 83
87 88 83
86 87 82
85 86 81
83 84 79
83 84 79
85 86 81
83 84 79
80 81 76
78 78 76
78 78 76
79 79 77
81 81 79
83 83 83
77 77 77
77 77 79
76 76 78
76 76 78
75 75 77
74 73 78
73 72 77
73 72 77
72 72 72
72 72 72
105 105 105
105 105 105
105 105 105
105 105 105
107 107 107
109 109 109
112 112 112
114 114 114
116 116 116
116 116 116
118 118 118
119 119 119
119 119 119
119 119 119
118 118 118
118 118 118
117 117 119
117 117 119
118 118 120
119 119 121
121 121 123
122 122 124
123 123 125
123 123 125
120 120 122
120 120 122
119 119 121
120 120 122
120 120 122
122 122 124
123 123 125
124 124 126
127 127 135
128 128 136
129 129 137
130 130 138
130 130 138
130 130 138
130 130 138
129 129 137
129 129 137
128 128 136
127 127 135
126 126 134
126 126 134
128 128 136
130 130 138
131 131 139
134 134 136
129 129 131
136 136 138
129 129 131
112 112 114
141 141 143
73 73 75
14 14 16
6 6 8
46 46 48
45 45 47
54 54 56
111 111 113
131 131 133
114 114 116
122 122 124
113 113 115
113 113 113
113 113 113
113 113 113
113 113 113
114 114 114
114 114 112
114 114 112
117 117 115
115 116 111
112 113 108
108 109 104
104 105 99
101 102 96
99 100 94
98 99 93
100 99 95
100 99 95
100 99 95
100 99 95
100 99 95
100 99 95
100 99 95
100 99 95
98 97 93
96 95 91
93 92 88
91 90 86
90 89 85
91 90 86
93 92 88
94 93 89
91 90 86
91 90 86
91 90 86
91 90 86
91 90 86
91 90 86
91 90 86
91 90 86
89 88 84
89 88 84
88 87 83
87 86 82
86 85 81
85 84 80
84 83 79
84 83 79
82 82 80
81 81 79
79 79 77
77 77 75
77 77 75
77 77 75
78 78 76
79 79 77
78 78 76
78 78 76
78 78 76
77 77 75
76 76 74
75 75 73
75 75 73
74 74 72
72 72 74
72 72 74
105 105 105
104 104 104
104 104 104
105 105 105
107 107 107
109 109 109
112 112 112
113 113 113
116 116 116
117 117 117
118 118 118
119 119 119
119 119 119
119 119 119
118 118 118
118 118 118
117 117 119
118 118 120
118 118 120
120 120 122
121 121 123
122 122 124
123 123 125
123 123 125
121 121 123
121 121 123
120 120 122
121 121 123
121 121 123
123 123 125
124 124 126
125 125 127
127 127 135
128 128 136
129 129 137
130 130 138
131 131 139
130 130 138
130 130 138
129 129 137
129 129 137
128 128 136
127 127 135
127 127 135
127 127 135
128 128 136
130 130 138
131 131 139
130 130 132
125 125 127
129 129 131
131 131 133
128 128 130
99 99 101
19 19 21
1 1 3
55 55 57
82 82 84
64 64 66
58 58 60
107 107 109
128 128 130
115 115 117
122 122 124
114 114 116
114 114 114
113 113 113
113 113 113
113 113 113
112 112 112
112 112 110
112 112 110
116 116 114
114 115 110
111 112 107
107 108 103
104 105 99
100 101 95
98 99 93
97 98 92
99 98 94
99 98 94
99 98 94
99 98 94
99 98 94
99 98 94
99 98 94
99 98 94
97 96 92
95 94 90
92 91 87
90 89 85
90 89 85
91 90 86
93 92 88
94 93 89
91 90 86
91 90 86
91 90 86
91 90 86
91 90 86
91 90 86
91 90 86
91 90 86
89 88 84
88 87 83
87 86 82
86 85 81
85 84 80
84 83 79
84 83 79
83 82 78
81 81 79
80 80 78
78 78 76
77 77 75
76 76 74
77 77 75
78 78 76
78 78 76
78 78 76
78 78 76
