87 130
3 5 4
2 4 3
2 4 3
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
8 3 0
8 3 0
8 4 1
6 5 1
5 6 1
5 7 2
3 8 2
2 9 2
3 10 3
3 10 3
4 11 4
5 12 5
5 12 5
7 12 6
7 12 6
10 12 7
8 13 9
7 12 8
6 11 7
5 10 6
4 9 5
5 7 4
4 6 3
4 6 3
9 11 8
10 10 8
10 10 8
10 10 8
10 10 8
11 10 8
11 10 8
11 10 8
12 14 13
11 13 12
9 13 12
8 12 11
7 13 11
4 13 10
3 14 10
1 13 9
0 11 7
0 11 7
0 12 8
1 12 8
2 13 9
4 13 10
4 13 10
4 13 10
2 13 9
1 12 8
1 10 7
0 9 6
2 8 6
4 8 7
6 10 9
9 11 10
7 9 8
6 10 9
6 10 9
5 11 9
2 11 8
1 10 7
0 10 6
0 9 5
0 8 9
0 8 9
0 9 10
0 9 10
0 10 9
0 10 9
1 11 10
1 12 8
0 11 7
0 11 5
0 11 5
0 11 5
0 11 3
0 11 3
1 11 3
1 11 3
5 7 4
5 7 4
5 7 4
5 7 4
4 6 3
4 6 3
3 5 2
3 5 2
4 6 3
4 6 3
4 6 3
4 6 3
4 6 3
4 6 3
4 6 3
4 6 3
6 8 7
6 8 7
6 8 7
6 8 7
6 8 7
6 8 7
6 8 7
6 8 7
1 3 2
1 3 2
2 4 3
2 4 3
2 4 3
2 4 3
3 5 4
3 5 4
2 4 3
2 4 3
6 7 2
6 7 2
6 7 2
5 6 1
5 6 1
5 6 1
4 5 0
4 5 0
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
9 4 1
9 4 1
8 4 1
6 5 1
5 6 1
2 7 1
1 8 1
1 8 1
1 11 3
1 11 3
3 10 3
4 9 3
4 9 3
7 9 4
9 10 5
10 11 6
6 11 5
6 11 5
6 11 5
7 9 4
7 9 4
7 9 4
8 9 4
8 9 4
9 10 5
10 9 5
9 8 4
9 8 4
11 7 4
12 8 5
13 9 6
14 10 7
6 7 9
9 10 12
10 14 15
9 15 15
3 13 12
0 12 10
0 12 9
0 12 9
1 17 14
0 14 11
0 12 9
0 14 11
2 17 14
5 17 15
2 12 11
0 8 7
0 6 1
0 4 0
0 5 1
5 10 6
8 10 7
5 5 3
6 5 3
8 7 5
9 8 6
10 9 7
8 8 6
5 7 4
4 9 5
7 13 9
4 13 8
0 7 2
0 11 7
0 11 7
0 11 7
0 10 7
0 11 5
0 12 7
0 13 8
2 14 10
0 10 4
0 10 4
0 8 3
1 8 1
2 9 2
4 9 3
6 11 5
7 12 6
6 8 5
6 8 5
6 8 5
6 8 5
6 8 5
6 8 5
6 8 5
6 8 5
7 9 6
7 9 6
6 8 5
6 8 5
5 7 4
5 7 4
4 6 3
4 6 3
7 9 8
7 9 8
6 8 7
5 7 6
4 6 5
3 5 4
2 4 3
2 4 3
3 5 4
3 5 4
3 5 4
3 5 4
3 5 4
3 5 4
3 5 4
3 5 4
4 6 5
4 6 5
7 8 3
6 7 2
6 7 2
6 7 2
5 6 1
5 6 1
5 6 1
4 5 0
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
11 3 1
9 4 1
8 4 1
6 5 1
4 6 1
2 7 1
1 8 1
1 8 1
2 12 4
4 11 4
4 9 3
6 8 3
7 8 3
9 8 4
12 8 5
14 9 6
7 8 2
7 8 2
8 9 3
10 9 4
10 9 4
9 8 3
11 8 3
11 8 3
12 7 3
11 6 2
13 5 2
13 5 2
14 4 2
15 5 3
16 6 4
17 7 5
11 6 12
10 8 13
9 8 13
8 9 13
5 10 13
2 12 13
2 14 14
1 15 15
0 14 13
0 15 14
2 16 16
2 16 16
3 15 15
2 12 13
2 10 12
4 9 12
14 15 9
9 10 4
9 8 3
13 10 5
16 8 5
15 5 3
18 7 5
23 12 10
21 10 8
21 10 8
15 5 3
8 0 0
5 2 0
7 6 1
6 7 1
2 3 0
2 22 13
0 19 10
0 15 7
0 14 6
0 13 6
0 12 5
0 9 2
0 5 0
1 11 3
3 10 3
4 9 3
6 8 3
6 8 3
7 8 3
7 8 3
8 9 4
6 8 5
6 8 5
6 8 5
6 8 5
6 8 5
6 8 5
6 8 5
6 8 5
6 8 5
6 8 5
6 8 5
6 8 5
5 7 4
5 7 4
5 7 4
5 7 4
7 9 8
6 8 7
6 8 7
5 7 6
4 6 5
3 5 4
2 4 3
2 4 3
3 5 4
3 5 4
3 5 4
3 5 4
3 5 4
3 5 4
3 5 4
3 5 4
4 6 5
4 6 5
7 8 3
7 8 3
6 7 2
6 7 2
6 7 2
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
11 3 1
9 4 1
8 4 1
6 5 1
4 6 1
2 7 1
1 8 1
1 8 1
4 11 4
4 9 3
6 8 3
7 6 2
9 5 2
13 5 3
15 5 4
17 5 5
11 4 0
13 6 0
16 7 0
17 8 1
18 9 2
19 8 2
18 7 1
19 6 0
22 7 2
21 6 1
23 5 1
23 5 1
24 5 1
25 6 2
26 7 3
28 7 4
22 5 11
19 2 8
14 2 6
11 2 5
9 5 6
7 7 7
6 8 7
3 9 7
0 6 4
5 11 9
9 15 13
9 13 12
7 9 8
6 4 5
9 7 8
14 10 11
20 10 1
15 5 0
15 0 0
19 2 0
23 2 0
25 1 0
31 6 2
40 12 9
43 15 12
38 13 9
29 5 1
18 0 0
15 0 0
17 2 0
16 6 0
13 3 0
4 12 1
2 10 0
1 9 0
3 11 0
8 14 4
9 14 7
7 12 5
6 9 2
5 8 1
6 7 1
7 8 3
8 7 3
8 7 3
8 7 3
7 6 2
6 5 1
6 8 5
6 8 5
6 8 5
6 8 5
6 8 5
6 8 5
6 8 5
6 8 5
5 7 4
5 7 4
5 7 4
5 7 4
6 8 5
6 8 5
6 8 5
6 8 5
6 8 7
6 8 7
5 7 6
4 6 5
4 6 5
3 5 4
2 4 3
2 4 3
3 5 4
3 5 4
3 5 4
3 5 4
3 5 4
3 5 4
3 5 4
3 5 4
4 6 5
4 6 5
7 8 3
7 8 3
7 8 3
6 7 2
6 7 2
6 7 2
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
11 3 1
9 4 1
8 4 1
6 5 1
4 6 1
2 7 1
1 8 1
1 8 1
3 8 2
4 6 1
6 5 1
8 3 0
12 2 1
16 2 2
20 1 3
20 1 3
21 2 0
24 4 0
27 7 0
29 9 2
32 9 3
32 9 3
31 6 1
33 5 1
38 10 6
39 10 6
39 8 5
39 8 5
41 7 5
42 8 6
45 10 8
45 10 8
45 5 13
40 3 10
35 3 8
32 3 7
29 4 7
25 7 7
19 5 4
14 3 1
12 2 0
14 4 2
16 5 3
17 3 2
17 1 1
22 2 3
27 5 7
31 9 11
27 0 0
24 0 0
26 0 0
34 0 0
41 2 0
46 2 0
53 8 5
61 13 11
64 16 14
60 15 12
51 7 4
40 1 0
36 1 0
37 7 0
37 8 0
33 6 0
14 0 0
16 2 0
19 5 0
19 6 0
19 6 0
17 7 0
17 6 0
17 8 1
9 2 0
10 2 0
9 4 0
10 5 2
10 6 3
9 5 2
6 5 3
6 5 3
6 8 5
6 8 5
6 8 5
6 8 5
6 8 5
6 8 5
6 8 5
6 8 5
4 6 3
4 6 3
5 7 4
5 7 4
6 8 5
6 8 5
7 9 6
7 9 6
5 7 6
5 7 6
4 6 5
4 6 5
3 5 4
3 5 4
2 4 3
2 4 3
3 5 4
3 5 4
3 5 4
3 5 4
3 5 4
3 5 4
3 5 4
3 5 4
4 6 5
4 6 5
8 9 4
8 9 4
7 8 3
7 8 3
7 8 3
6 7 2
6 7 2
6 7 2
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
9 4 1
9 4 1
8 4 1
5 6 1
4 6 1
2 7 1
1 8 1
1 8 1
0 5 0
3 4 0
6 2 0
10 0 0
15 0 0
19 0 1
24 0 3
26 0 4
37 2 0
39 4 0
41 6 2
45 7 4
46 8 5
47 7 5
47 6 4
49 5 4
54 10 9
54 8 8
56 8 8
57 7 8
57 7 8
59 7 9
60 8 10
61 9 11
66 4 9
66 5 10
66 7 11
63 11 13
61 13 13
53 12 10
46 8 5
39 6 1
37 4 0
34 1 0
31 0 0
35 0 0
41 1 0
48 7 5
54 8 8
56 10 10
50 3 0
50 1 0
57 4 0
67 9 7
73 12 11
74 10 10
79 11 12
84 14 16
79 9 11
78 10 11
70 6 6
63 2 1
62 4 2
63 10 6
60 11 6
55 8 2
53 8 3
57 12 7
57 14 8
48 7 3
35 0 0
24 0 0
21 0 0
21 0 0
17 0 0
14 0 0
12 1 0
11 3 0
10 5 2
7 6 4
6 6 4
6 6 4
6 8 5
6 8 5
6 8 5
6 8 5
6 8 5
6 8 5
6 8 5
6 8 5
4 6 3
4 6 3
5 7 4
5 7 4
6 8 5
6 8 5
7 9 6
7 9 6
4 6 5
4 6 5
3 5 4
3 5 4
3 5 4
3 5 4
2 4 3
2 4 3
3 5 4
3 5 4
3 5 4
3 5 4
3 5 4
3 5 4
3 5 4
3 5 4
3 5 4
3 5 4
8 9 4
8 9 4
8 9 4
7 8 3
7 8 3
7 8 3
6 7 2
6 7 2
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
9 4 1
9 4 1
6 5 1
5 6 1
4 6 1
2 7 1
2 7 1
2 7 1
1 3 0
4 3 0
9 1 0
14 0 0
20 0 2
26 0 4
31 0 6
33 0 7
54 3 0
55 4 1
55 4 1
55 4 1
58 4 2
60 4 3
62 4 3
63 5 4
64 4 4
64 2 3
66 2 3
67 1 3
67 1 3
70 1 4
71 2 5
72 3 6
81 0 0
84 0 1
87 5 7
88 10 10
81 10 8
73 8 4
66 5 0
63 6 0
64 7 0
59 2 0
56 0 0
61 0 0
70 7 2
79 11 8
80 10 8
80 9 7
75 8 2
76 7 2
84 10 7
94 16 14
97 16 15
94 8 9
93 4 6
94 4 6
90 0 2
90 1 3
85 0 0
79 0 0
79 1 0
81 7 4
79 10 5
75 8 2
88 8 9
90 12 12
86 12 11
75 5 5
60 0 0
50 0 0
46 0 0
44 3 1
33 0 0
26 0 0
20 2 0
13 3 1
8 4 1
5 5 3
5 7 4
4 8 7
6 8 5
6 8 5
6 8 5
6 8 5
6 8 5
6 8 5
6 8 5
6 8 5
5 7 4
5 7 4
5 7 4
5 7 4
6 8 5
6 8 5
6 8 5
6 8 5
3 5 4
3 5 4
3 5 4
3 5 4
3 5 4
3 5 4
2 4 3
2 4 3
3 5 4
3 5 4
3 5 4
3 5 4
3 5 4
3 5 4
3 5 4
3 5 4
3 5 4
3 5 4
9 10 5
8 9 4
8 9 4
8 9 4
7 8 3
7 8 3
7 8 3
6 7 2
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
9 4 1
8 4 1
6 5 1
5 6 1
4 6 1
2 7 1
2 7 1
2 7 1
4 5 0
7 3 0
12 2 1
20 1 3
27 2 6
34 3 9
39 4 11
42 5 13
68 4 4
66 2 2
65 1 1
64 0 0
65 0 0
68 0 1
71 1 3
74 2 5
73 0 2
73 0 1
73 0 1
75 0 1
76 0 1
77 0 2
79 0 3
80 0 4
101 0 0
107 0 1
110 6 7
105 7 6
92 1 0
84 0 0
79 0 0
79 2 0
76 2 0
78 4 0
83 6 0
89 9 2
93 10 4
95 7 3
93 4 0
92 1 0
89 6 2
90 5 2
96 8 6
103 12 11
107 9 10
103 0 3
100 0 0
100 0 0
104 0 2
103 0 1
96 0 0
89 0 0
87 0 0
92 4 2
94 9 6
91 8 4
102 0 0
99 0 0
94 0 0
90 0 0
86 0 3
83 7 11
80 14 16
74 20 20
52 8 9
40 9 7
28 7 6
17 6 4
9 5 2
4 6 3
2 8 6
1 10 7
6 8 5
6 8 5
6 8 5
6 8 5
6 8 5
6 8 5
6 8 5
6 8 5
6 8 5
6 8 5
6 8 5
6 8 5
5 7 4
5 7 4
5 7 4
5 7 4
2 4 3
2 4 3
2 4 3
2 4 3
2 4 3
2 4 3
3 5 4
3 5 4
3 5 4
3 5 4
3 5 4
3 5 4
3 5 4
3 5 4
3 5 4
3 5 4
2 4 3
2 4 3
9 10 5
9 10 5
8 9 4
8 9 4
8 9 4
7 8 3
7 8 3
7 8 3
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
5 6 1
9 4 1
8 4 1
6 5 1
5 6 1
4 6 1
2 7 1
2 7 1
4 6 1
6 7 2
10 5 2
16 4 4
23 4 6
31 4 9
39 6 13
45 8 16
50 8 18
74 4 6
71 1 3
69 0 0
67 0 0
69 0 0
72 0 0
75 0 3
79 0 5
77 0 2
78 0 2
79 0 1
80 0 1
81 0 2
84 0 3
85 0 4
85 0 4
127 4 6
131 11 12
132 16 16
121 12 9
104 1 0
92 0 0
90 0 0
92 4 0
81 0 0
89 2 0
100 12 2
104 14 5
103 9 1
99 0 0
95 0 0
94 0 0
95 4 1
96 2 0
102 4 3
110 7 8
112 6 8
109 0 2
108 0 0
109 0 0
116 0 5
112 0 2
102 0 0
93 0 0
93 0 0
100 2 1
103 9 7
101 10 7
114 0 0
104 0 0
95 0 0
96 0 0
101 2 7
102 15 21
96 21 25
85 23 26
65 16 19
51 15 15
36 12 12
20 9 7
10 6 3
2 7 3
0 8 5
0 10 6
6 8 5
6 8 5
6 8 5
6 8 5
6 8 5
6 8 5
6 8 5
6 8 5
7 9 6
7 9 6
6 8 5
6 8 5
5 7 4
5 7 4
4 6 3
4 6 3
1 3 2
1 3 2
2 4 3
2 4 3
2 4 3
2 4 3
3 5 4
3 5 4
3 5 4
3 5 4
3 5 4
3 5 4
3 5 4
3 5 4
3 5 4
3 5 4
2 4 3
2 4 3
9 8 4
9 8 4
9 8 4
9 8 4
9 8 4
9 8 4
9 8 4
9 8 4
9 8 4
9 8 4
9 8 4
9 8 4
9 8 4
9 8 4
9 8 4
9 8 4
12 11 0
4 6 0
0 7 0
0 13 8
0 11 16
0 5 13
2 2 10
18 3 6
24 0 0
49 0 0
66 3 0
73 1 0
76 4 0
69 0 0
63 0 0
68 6 7
68 4 4
68 4 4
71 3 4
71 1 3
71 0 2
69 0 1
66 0 0
62 0 0
66 5 2
64 3 0
65 2 0
71 0 0
79 0 0
89 0 0
104 1 4
113 7 11
167 0 0
163 5 4
149 11 9
121 7 6
94 3 0
82 3 0
81 4 0
86 1 0
98 1 0
109 0 0
117 0 0
116 0 0
108 0 0
100 0 0
95 5 7
95 10 13
123 0 0
115 0 0
112 0 0
118 0 0
120 1 0
116 1 0
114 2 0
115 8 2
116 13 8
101 2 0
87 0 0
88 0 0
96 7 0
101 14 5
92 8 0
82 0 0
81 3 1
79 0 0
85 0 0
97 3 1
112 12 10
117 13 10
109 4 0
97 0 0
97 4 0
80 0 0
69 4 0
59 14 9
37 9 5
8 0 0
0 1 0
5 11 9
0 7 6
0 8 7
0 9 8
3 9 9
5 9 10
7 8 10
6 8 7
7 7 7
9 7 8
9 7 8
8 6 7
7 5 6
6 4 5
4 4 4
3 3 3
3 3 3
3 3 3
3 3 3
3 3 3
4 4 4
5 5 5
5 5 5
6 6 6
6 6 6
4 4 4
4 4 4
4 4 4
4 4 4
4 4 4
4 4 4
4 4 4
4 4 4
3 3 3
3 3 3
9 8 4
9 8 4
9 8 4
9 8 4
9 8 4
9 8 4
9 8 4
9 8 4
9 8 4
9 8 4
9 8 4
9 8 4
9 8 4
9 8 4
9 8 4
9 8 4
15 14 0
3 7 0
0 4 0
0 6 2
0 9 12
0 6 14
10 5 12
27 5 7
33 0 0
66 9 0
80 11 0
78 2 0
79 3 0
74 1 0
68 0 0
72 6 8
65 1 1
67 1 2
69 1 2
72 0 3
72 0 3
72 0 3
70 0 2
67 2 0
66 5 2
63 2 0
66 1 0
76 2 0
84 0 0
91 0 0
105 2 5
121 12 17
167 0 0
164 4 4
149 9 8
121 6 3
99 1 0
88 3 0
88 5 1
94 3 0
106 3 0
113 0 0
117 0 0
117 0 0
112 0 0
105 1 2
96 4 5
91 6 9
118 0 0
116 0 0
120 0 0
125 6 2
126 8 6
119 4 1
114 2 0
114 6 3
107 4 0
100 1 0
95 0 0
94 1 0
96 6 0
96 7 0
91 4 0
86 0 0
79 0 0
83 0 0
89 0 0
102 4 3
111 7 6
115 7 4
111 2 0
105 0 0
99 0 0
87 0 0
76 5 1
67 14 10
49 11 8
23 2 0
9 0 0
9 5 2
0 6 6
3 9 7
6 10 9
6 10 9
4 8 7
5 7 6
6 8 7
9 9 9
8 8 8
7 7 7
7 7 7
6 6 6
5 5 5
4 4 4
3 3 3
3 3 3
3 3 3
3 3 3
3 3 3
4 4 4
5 5 5
5 5 5
5 5 5
6 6 6
4 4 4
4 4 4
